id,name,composition,ingredients,servings,difficulty,thumbnail,time,orders,photo
6842324,고구마맛탕,가볍게,[재료] 고구마| 식용유| 황설탕| 올리고당| 견과류| 물,2인분,초급,https://recipe1.ezmember.co.kr/cache/recipe/2016/01/29/828bccf4fdd0a71b6477a8e96e84906b1.png,60분 이내,|1. 바삭하게 튀기는 꿀팁|2. 달콤한 소스 꿀팁|3. 더 건강하게 먹는 꿀팁,|https://recipe1.ezmember.co.kr/cache/recipe/2016/01/29/4c9918cf77a109d28b389e6bc753b4bd1.jpg|https://recipe1.ezmember.co.kr/cache/recipe/2016/01/29/66e8c5f5932e195e7b5405d110a6e67e1.jpg|https://recipe1.ezmember.co.kr/cache/recipe/2016/01/29/8628264d141fa54487461d41a45d905f1.jpg
6845721,참치샐러드비빔밥,든든하게,[재료] 참치 통조림 1캔| 쌈채소 1줌| 밥 1공기| 초고추장 적당히 [선택재료] 달걀 1개| 식용유 2큰술| 다진김치 5큰술 [참치샐러드 양념] 양파 1/4개| 마요네즈 3큰술| 후춧가루 약간,1인분,아무나,https://recipe1.ezmember.co.kr/cache/recipe/2016/03/31/4b9e1346b1e02e6d00f6cf6551ea3e491.png,10분 이내,"|1. 참치는 캔 뚜껑을 따서 기름기를 따라낸다.|2. 볼에 참치를 넣고 다진 양파, 마요네즈, 후춧가루를 넣고 버무린다.|3. 쌈채소는 먹기 좋도록 굵게 채썬다.|4. 뜨겁게 달군 팬에 식용유를 두른 뒤 달걀을 깨 넣고 노릇하게 프라이한다.|5. 볼에 밥을 담고 쌈채소 - 다진 김치 - 참치샐러드 - 달걀프라이를 올린 뒤 초고추장을 뿌린다.",|https://recipe1.ezmember.co.kr/cache/recipe/2016/03/31/31c62769312858f41ac98188101ebd151.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/03/31/1e27960497b1740d908c9d1e3a13324e1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/03/31/a599fe901c9bcd99cf3102eff793a1d41.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/03/31/c08c09201b33667c6ece5a0530d0136b1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/03/31/4847ce1403b49b027ac5483ee14543da1.png
6845906,해쉬브라운그라탕,든든하게,[필수재료] 해쉬브라운(냉동감자) 4장| 올리브유 적당량| 토마토소스 2/3컵| 슈레드모짜렐라치즈 1/2컵| 파르메산치즈가루 1큰술 [선택재료] 시금치 2줌| 다진마늘 1/2큰술| 소금 약간 [크림소스] 채썬 양파 1/3개| 다진마늘 1/2큰술| 버터 1+1/2큰술| 밀가루 1큰술| 소금 약간| 파르메산치즈가루 2큰술| 후춧가루 약간,2인분,초급,https://recipe1.ezmember.co.kr/cache/recipe/2016/04/04/9332755548d1838acf6ffd7b4737f7fb1.png,30분 이내,"|1. 뜨겁게 달군 팬에 올리브유(2큰술)를 두르고 채 썬 양파와 다진 마늘(½큰술)을 볶는다.|2. 밀가루를 넣고 볶다가 우유를 2~3번에 나눠 붓고 저어가며 끓인다.|3. 걸쭉한 농도가 나기 시작하면 파르메산치즈가루와 소금, 후춧가루를 뿌려 간 한다.|4. 다른 팬에 올리브유를 두른 뒤 해쉬브라운을 앞뒤로 노릇하게 구워 건진다.|5. 올리브유를 한 번 더 두른 뒤 시금치와 다진 마늘, 소금, 후춧가루를 넣고 볶아 건진다|6. 오븐 용기 바닥에 토마토소스를 먼저 펴 담은 뒤 해쉬브라운과 시금치 볶음을 겹겹이 담는다.|7. 만들어둔 화이트소스를 붓는다.|8. 슈레드모짜렐라치즈를 뿌린 뒤 파르메산치즈가루를 한 번 더 뿌린다.|9. 190도로 예열한 오븐에서 10분 정도 구워 마무리.",|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/04/cee513df25c41ca9c6e1983ba6824f6a1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/04/9c128dd45ba95616d45acf4585930c531.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/04/f260ff4e1b8a41e69cf0c90b965a99541.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/04/f5539fca9d61c9010a9403f4f47b8ad31.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/04/1c4d34ae9725555bd3597180d0f65e541.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/04/05db9afaff228d676b13d4a559abbfba1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/04/41c67f8346be4fa1c10ddc78d950c3fc1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/04/08492d08147266e432f0eef2daed242a1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/04/9553e860d682f337f1e78c7b3eaf3f381.png
6846020,식빵핫도그,가볍게,[필수재료] 식빵 3장| 소시지 3개| 슬라이스치즈 3장| 달걀 2개| 빵가루 1컵| 식용유 적당량 [선택재료] 깻잎 3장| 설탕 적당량| 토마토케찹 적당량| 머스터드소스 적당량 [양념] 소금 약간,1인분,초급,https://recipe1.ezmember.co.kr/cache/recipe/2016/04/06/eaf1f8eec3334c209641aba6e94789171.png,30분 이내,|1. 식빵은 밀대를 이용해 납작하게 민다.|2. 깻잎 ? 슬라이스치즈 - 소시지 순으로 올려 돌돌 만다.|3. 달걀은 소금을 넣고 곱게 푼다.|4. 달걀물에 핫도그를 푹 적신다.|5. 빵가루에 한 번 굴린다.|6. 식용유를 자작하게 두른 팬에 올려 노릇하게 굽는다.|7. 노릇하게 색이 나면 건져 가볍게 기름기를 털어낸 뒤 그릇에 담고 취향에 맞게 설탕을 솔솔 뿌린 뒤 케찹과 머스터드를 촵촵 뿌린다.,|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/06/bb53d78d32eb04dd1602f78420e38ff11.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/06/4e722bd7e7c7b5c9639be89e6a302bfc1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/06/1fb30a73bdcae25696c8b03de4ddb8271.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/06/e43dac7dc673f1ecd0c16eb6974142691.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/06/ae997be6d9880352e82b9028ae548f051.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/06/e359ff88d1620e59a1f5b62dec0f2aaf1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/06/d34357eb97d1e6caabec33811a90b52a1.png
6846262,딸기컵케이크,가볍게,[필수재료] 머핀 2개| 딸기 8개| 플레인요구르트 1컵 [선택재료] 판 초콜릿 적당량| 꿀 1큰술| 애플민트(장식용) 적당량,2인분,아무나,https://recipe1.ezmember.co.kr/cache/recipe/2016/04/11/83170de7098de66b9a18c42a3fd3e0521.png,30분 이내,"|1. 머핀은 사방 1.5cm 크기로 썰어요.|2. 판초콜릿은 칼로 잘게 부숴요.|3. 딸기(5개)는 길게 반 가르고, 나머지(3개)는 굵게 다져요.|4. 다진 딸기는 플레인요구르트, 꿀과 섞어요.|5. 투명컵(병)에 잘라둔 빵을 바닥에서 2~3cm 정도 올라오도록 담아요.|6. 반으로 가른 딸기의 단면이 보이도록 투명컵 둘레를 돌아가며 나란히 담아요. (TIP ? 딸기는 2~4조각 남녀 마지막에 장식으로 사용하세요.)|7. 중앙에 딸기요거트(1/3분량)을 담아요.|8. 빵 ? 딸기-요거트 순으로 한 번 더 반복해 담아요.|9. 남은 빵과 요거트를 담은 뒤 딸기와 애플민트를 올리고 다진 초콜릿을 뿌려 마무리.",|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/11/9e3dcde1a226746c0d3075b30e5252ee1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/11/9a51526afa3505ed000781ab5d2dc4221.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/11/bba65ff6501a9981891beec620c1bebd1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/11/4023696ed3dbeaeb295964e526442ce41.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/11/f71f9b18301b5d9b2605f507321648c21.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/11/e1db5e97a68a6d84a7c2e89db9270b5f1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/11/dc559c31d0b46e8ede1a2e4db321c4001.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/11/faaef02946837b884d5ddb39a64b02581.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/11/5f67691f098440ef19f2de692912e7f01.png
6846342,스팸두부김치,든든하게,[필수재료] 두부 1모| 스팸 1캔| 한입 크기로 썬 김치 2컵| 채 썬 양파 1/2개 [선택재료] 어슷 썬 대파 10cm [양념] 참기름 1큰술| 식용유 1/2큰술| 설탕 1/2큰술| 고추장 1/2큰술| 고춧가루 1/2큰술| 깨소금 1큰술,4인분,아무나,https://recipe1.ezmember.co.kr/cache/recipe/2016/04/12/c41ac28663d77803b5add179824aeda91.png,30분 이내,"|1. 중간 불로 달군 팬에 참기름, 식용유를 두르고 김치, 양파, 설탕을 넣고 볶아요.|2. 고추장(½큰술)과 고춧가루(½큰술), 대파를 넣고 조금 더 볶은 뒤 깨소금을 넣고 가볍게 섞어요.|3. 물에 두부를 넣고 중약 불로 끓여 뜨겁게 데워 건져요.|4. 두부를 끓일 동안 스팸은 납작 썰어 뜨겁게 달군 팬에 올려 노릇하게 구워요.|5. 두부는 도톰하게 납작하게 썰어요.|6. 그릇에 스팸과 두부를 겹겹이 담은 뒤 볶음김치도 함께 담아요.",|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/12/8d1c96cb2222b29ce32854de8b06f3be1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/12/33f5cf35d2b7989bdc1a4541ba771b8f1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/12/6229df0722c971aff039c5dcc47ae5161.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/12/221c4df2779db58d986707a5d0b847fd1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/12/138ea51fe44dde0fc7be888d2bfa1a2e1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/12/573c30d66d66970e303fb57f4aeb9a5d1.png
6846428,오코노미야키,든든하게,[필수재료] 양배추 4~5장| 양파 1/2개| 쪽파 5대| 식용유 적당량 [선택재료] 베이컨 6줄 [반죽재료] 달걀 2개| 물 3큰술| 간장 1큰술| 후춧가루 약간| 부침가루 4/5컵(160ml),2인분,아무나,https://recipe1.ezmember.co.kr/cache/recipe/2016/04/14/4a381a37cd5dc6eb137aaf2b838a279c1.png,30분 이내,"|1. 양배추와 양파는 채 썰고, 쪽파는 송송 썰어요.|2. 볼에 달걀을 깨 넣고 물, 간장, 후춧가루를 넣고 섞은 뒤 부침가루, 을 넣고 마른 가루 없이 섞어요.|3. 채 썬 양배추와 양파, 쪽파를 넣고 섞어요.|4. 뜨겁게 달군 팬에 식용유를 넉넉히 두르고 반죽을 얹어 도톰하게 모양을 구워요.|5. 바닥면이 노릇하게 익으면 베이컨을 나란히 얹고 뒤집어 노릇하게 조금 더 구워요.|6. 오코노미야키소스와 마요네즈, 가스오부시, 송송 썬 쪽파를 뿌려 마무리.",|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/14/3a0b697acc912d12c7e41ac7ca7a74a81.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/14/7e95dd9b2c95b009013e1dabf452c4be1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/14/67d143f6d04c3a3769bc68a8c610b57b1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/14/18d92cb94f1db181535038cf35ba4b1e1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/14/9e5aaad4a29468fc83403bb858a2e2ca1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/14/e818a2145e93fad73dd9996b57482da81.png
6846512,리코타치즈,가볍게,[재료] 우유 1000ml| 생크림 500ml| 소금 1큰술| 레몬즙 또는 식초 4큰술,2인분,아무나,https://recipe1.ezmember.co.kr/cache/recipe/2016/04/15/60f920c78bed7e6f02345c0a622a0bd01.png,120분 이내,"|1. 냄비에 우유와 생크림을 2 : 1 비율로 섞어 부어요.|2. 중약 불에 올려 가장자리부터 끓기 시작하면 소금, 레몬즙 또는 식초를 넣어요.|3. 약한 불로 줄여 응고되어 몽글몽글한 덩어리가 생기기 시작하면 3분 정도 천천히 저어가며 더 끓여요.|4. 불을 끄고 10분 정도 그대로 두세요.|5. 체를 밭친 면포에 살살 부어 물기를 빼요.|6. 물기가 거의 다 빠지면 면포로 윗면을 덮은 뒤 완전히 식혀요.|7. 밀폐용기에 옮겨 냉장실에서 차갑게 굳혀 보관해요.",|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/15/0927fdb3efa61586e495f6a0753028bf1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/15/9071d87387f248c1e9650300eef0704e1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/15/52cd50a82ff0fcea2c5f76fd07cfb8551.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/15/c03396f3d8eddb08cc7f46544236480d1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/15/6b36304622a8c04e56b482750062892f1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/15/a3b3d10e704c78bb50e69b3c1d6069341.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/15/c2aa5979622f95fdcdf13700c6aa92621.png
6846633,달걀빵,가볍게,[필수재료] 모닝빵 4개| 소금 약간| 후춧가루 약간 [토핑] 다진베이컨| 햄 4큰술| 슬라이스 체다치즈 1장| 파슬리가루 약간,2인분,아무나,https://recipe1.ezmember.co.kr/cache/recipe/2016/04/18/e5fe4e27792dc690cb09bed2cb3683a91.png,10분 이내,"|1. 모닝빵은 윗면에 열십자(+)로 깊게 칼집을 넣는다.|2. 전자레인지용 그릇에 칼집을 넣은 모닝빵을 넣고 꼭꼭 누른다.|3. 달걀을 깨 넣고 소금, 후춧가루를 뿌린 뒤 젓가락으로 노른자를 2~3번 찔러 터뜨린다.|4. 다진 베이컨과 잘게 찢은 슬라이스 체다치즈를 올린 뒤 파슬리가루도 솔솔 뿌린다.|5. 전자레인지(700W 기준)에 한 개씩 넣고 1분 30초간 돌려 익힌다.",|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/18/d32151ee1715081c3482685564bf3ab81.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/18/5f65aecf1f7f0304297891f21c3124281.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/18/911defd079842dddfea6fe467ab83a681.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/18/e1f87e2da26f0c967fcac92ccef104831.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/18/c6d10efa76faf617d0823178d4885b6b1.png
6846770,꽃잎김밥,든든하게,[필수재료] 달걀 2개| 자투리채소 조금| 베이컨 2줄| 단무지 1컵| 김 4장| 밥 3공기 [양념] 소금 1/3큰술| 후춧가루 약간| 참기름 약간| 참깨 1큰술,2인분,아무나,https://recipe1.ezmember.co.kr/cache/recipe/2016/04/20/09a083b1fc13f39abe66423e455b975a1.png,30분 이내,"|1. 볼에 달걀을 깨 넣고 소금, 후춧가루를 넣고 곱게 푼다.|2. 다진 자투리채소와 베이컨, 단무지을 넣고 섞는다.|3. 식용유를 두른 달군 팬에 달걀물을 붓고 도톰하게 부쳐 건진다.|4. 소금, 참기름, 참깨를 넣고 버무려 한김 식힌다.|5. 김은 2/3 크기로 자른다.|6. 도톰하게 부쳐낸 지단도 함김 식힌 뒤 길게 4등분한다.|7. 김밥 위에 김을 얹고 밥을 고루 펴 올린 뒤 달걀지단을 얹은 뒤 반으로 접고 가장자리를 꼭꼭 눌러 붙인다.|8. 먹기 좋은 두께로 썬다.",|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/20/9e55c5e76e347acafdc449190d51df961.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/20/b1fd82b7b938c92904a2c0e98e01f3461.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/20/ec362148d347f4608bf5dd1e0ea0a23b1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/20/55b289c73ebd73773d065e0809250bd01.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/20/197619efc148d2bb32a7f7dd36faf98d1.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/20/a93532b009820557bd1793a6625928201.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/20/62690f48b2b23cea063d4d6e2445d7871.png|https://recipe1.ezmember.co.kr/cache/recipe/2016/04/20/edfc252673e4a3069c74a6a0de5698431.png
