id,name,composition,ingredients,servings,difficulty
6842324,고구마맛탕,가볍게,[재료] 고구마| 식용유| 황설탕| 올리고당| 견과류| 물,2인분,초급
6845721,참치샐러드비빔밥,든든하게,[재료] 참치 통조림 1캔| 쌈채소 1줌| 밥 1공기| 초고추장 적당히 [선택재료] 달걀 1개| 식용유 2큰술| 다진김치 5큰술 [참치샐러드 양념] 양파 1/4개| 마요네즈 3큰술| 후춧가루 약간,1인분,아무나
6845906,해쉬브라운그라탕,든든하게,[필수재료] 해쉬브라운(냉동감자) 4장| 올리브유 적당량| 토마토소스 2/3컵| 슈레드모짜렐라치즈 1/2컵| 파르메산치즈가루 1큰술 [선택재료] 시금치 2줌| 다진마늘 1/2큰술| 소금 약간 [크림소스] 채썬 양파 1/3개| 다진마늘 1/2큰술| 버터 1+1/2큰술| 밀가루 1큰술| 소금 약간| 파르메산치즈가루 2큰술| 후춧가루 약간,2인분,초급
6846020,식빵핫도그,가볍게,[필수재료] 식빵 3장| 소시지 3개| 슬라이스치즈 3장| 달걀 2개| 빵가루 1컵| 식용유 적당량 [선택재료] 깻잎 3장| 설탕 적당량| 토마토케찹 적당량| 머스터드소스 적당량 [양념] 소금 약간,1인분,초급
6846262,딸기컵케이크,가볍게,[필수재료] 머핀 2개| 딸기 8개| 플레인요구르트 1컵 [선택재료] 판 초콜릿 적당량| 꿀 1큰술| 애플민트(장식용) 적당량,2인분,아무나
6846342,스팸두부김치,든든하게,[필수재료] 두부 1모| 스팸 1캔| 한입 크기로 썬 김치 2컵| 채 썬 양파 1/2개 [선택재료] 어슷 썬 대파 10cm [양념] 참기름 1큰술| 식용유 1/2큰술| 설탕 1/2큰술| 고추장 1/2큰술| 고춧가루 1/2큰술| 깨소금 1큰술,4인분,아무나
6846428,오코노미야키,든든하게,[필수재료] 양배추 4~5장| 양파 1/2개| 쪽파 5대| 식용유 적당량 [선택재료] 베이컨 6줄 [반죽재료] 달걀 2개| 물 3큰술| 간장 1큰술| 후춧가루 약간| 부침가루 4/5컵(160ml),2인분,아무나
6846512,리코타치즈,가볍게,[재료] 우유 1000ml| 생크림 500ml| 소금 1큰술| 레몬즙 또는 식초 4큰술,2인분,아무나
6846633,달걀빵,가볍게,[필수재료] 모닝빵 4개| 소금 약간| 후춧가루 약간 [토핑] 다진베이컨| 햄 4큰술| 슬라이스 체다치즈 1장| 파슬리가루 약간,2인분,아무나
6846770,꽃잎김밥,든든하게,[필수재료] 달걀 2개| 자투리채소 조금| 베이컨 2줄| 단무지 1컵| 김 4장| 밥 3공기 [양념] 소금 1/3큰술| 후춧가루 약간| 참기름 약간| 참깨 1큰술,2인분,아무나
6846922,핫샌드위치,가볍게,[필수재료] 빵 2조각| 버터 1큰술| 달걀 2개| 소금 1/2큰술| 식초 1큰술 [선택재료] 양파 1/2개| 토마토 1/2개| 올리브유 1큰술| 소금 약간| 후춧가루 약간| 베이컨 2줄| 어린잎채소 1줌 [드레싱] 다진 양파 3큰술| 발사믹식초 2큰술| 올리브유 3큰술| 소금 약간| 후춧가루 약간,2인분,초급
6847060,스팸밥버거,든든하게,[필수재료] 밥 3공기| 김 자반 1컵| 스팸 1캔 [볶음김치 재료] 참기름 1큰술| 송송썬 김치 1컵| 설탕 1큰술| 부순 참깨 1큰술 [참치샐러드] 참치 1캔(150g)| 잘게 썬 단무지 1/4컵| 다진 양파 1/8개 분량| 마요네즈 4큰술| 소금 약간| 후춧가루 약간,3인분,초급
6847207,지라시스시,든든하게,[필수 재료] 시판 조미유부초밥 1팩| 밥 2공기| 오이 1/3개| 소금 1/6큰술 [선택 재료] 달걀 2개| 소금 약간| 후춧가루 약간,2인분,아무나
6847328,하트도시락,가볍게,[주먹밥재료] 밥 2공기| 후리카케 3큰술| 김 약간| 토마토케첩 약간 [하트맛살전&문어비엔나 재료] 맛살 4줄| 나무꼬치(산적꼬치) 2개| 달걀 1개| 소금 약간| 후춧가루 약간| 비엔나소시지 6개 [하트달걀 샐러드] 달걀 2개| 소금 1/2큰술| 식초 1큰술| 우유팩| 나무젓가락| 고무줄| 어린잎채소 2줌| 방울 토마토 1줌| 시판 드레싱(사우전아일랜드드레싱 또는 토마토케찹+마요네즈 믹스한 것) 적당량 [단무지무침 재료] 단무지 1/2컵| 고춧가루 1/2큰술| 참기름 1/2큰술| 깨소금 1/3큰술,2인분,초급
